SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
69.5695,560.94,66600,163.989,32,0
59.351,560.94,66600,185,0,3
55.7744,712.848,53641,205.986,9,11
33.7104,722.159,50157,294,1,6
39.6159,758.086,40037,290.582,6,0
40.8306,765.515,35449,288.904,2,0
37.5843,765.515,35449,367,0,49
18.194,765.515,35449,367,0,34
1.87401,765.515,35449,465,0,8
15.1763,277.754,19660,434.681,24,0
28.1463,215.237,17298,387.516,38,0
36.0139,567.472,46900,211.392,58,0
54.943,703.02,19591,155.508,34,0
29.9073,703.02,19591,197,0,49
19.8986,794.483,25103,193.194,16,0
50.8847,543.912,21949,184.633,37,0
43.4695,743.681,67392,181.946,16,0
11.1719,768.309,26194,179.658,19,0
16.8136,498.302,24905,172.827,32,0
0,494.651,26072,172.231,5,0
0,494.651,26072,172.231,0,0
0,494.651,26072,172.231,0,0
0,494.651,26072,172.231,0,0
0,494.651,26072,172.231,0,0
0,494.651,26072,172.231,0,0
