,,,,,
,,,,,
Method,CTCP,,,,
MSS,1500,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
0.730134,990.4,1380,0,822,0
1.0916,651.447,1380,0,1232,0
1.22969,572.135,1381,0,1383,1
1.20672,532.179,1382,0,1358,0
1.1329,557.375,1383,0,1275,0
1.02884,640.446,1384,0,1158,0
1.09676,532.022,1385,0,1230,0
1.21096,762.202,1386,0,1363,1
0.473409,277.679,1386,0,532,0
1.72661,124.854,1387,0,542,4
1.39561,479.101,1387,0,867,1
0.549306,490.157,1388,0,614,0
1.73384,377.061,1389,0,1251,1
1.37629,428.651,1390,0,1546,0
1.09899,594.913,1391,0,1238,0
0.625402,531.607,1391,0,703,0
0.544201,750.957,1392,0,613,0
1.24551,677.434,1393,0,1413,0
1.07784,589.24,1394,0,1210,0
0.91399,602.297,1394,0,1029,0
1.28561,446.341,1395,0,1436,3
1.64416,408.851,1397,0,1839,0
1.92363,293.483,1398,0,2157,0
1.46587,395.756,1399,0,1643,0
1.98022,378.466,1401,0,1533,1
0.912798,396.105,1401,0,1011,0
0.835637,810.01,1402,0,939,0
0.9559,626.791,1403,0,1078,0
1.24104,538.403,1404,0,1397,0
1.30036,477.948,1405,0,1460,0
1.22182,531.435,1406,0,1374,0
1.45447,374.308,1407,0,1628,0
1.09461,645.246,1408,0,1240,1
0.618658,571.741,1408,0,686,0
1.1771,642.237,1409,0,1330,1
0.943065,691.446,1410,0,1061,0
1.11502,686.154,1411,0,1254,0
1.30762,359.144,1412,0,1464,0
1.22711,537.874,1413,0,1379,0
1.2951,484.253,1414,0,1455,1
1.81725,98.528,1415,0,1328,1
1.06994,489.68,1416,0,1205,0
0.992967,768.785,1416,0,1114,1
0.895226,665.292,1417,0,1008,0
1.66164,75.77,1418,0,1166,2
1.6553,164.431,1419,0,1141,2
1.58568,455.915,1420,0,1777,0
1.29253,498.576,1421,0,1452,0
2.00212,211.794,1422,0,1270,8
0.0639627,211.794,1422,0,52,0
1.64334,59.511,711,0,816,0
0.761253,462.664,712,0,859,1
1.60901,135.932,713,0,1092,2
1.25176,69.139,715,0,1047,1
1.9242,83.808,716,0,1083,9
2.19462,76.104,719,0,2129,1
2.18493,162.636,723,0,2442,0
1.68438,67.001,724,0,1164,5
1.30718,178.823,726,0,1102,1
1.69939,153.265,728,0,1908,0
2.05649,155.999,732,0,2300,0
2.24506,72.459,734,0,2043,4
1.74707,214.455,737,0,1670,0
0.988221,409.146,738,0,1109,0
0.40668,445.16,739,0,460,0
1.18739,346.504,741,0,1336,0
1.86967,196.849,743,0,2095,0
2.05839,209.042,746,0,1556,5
1.92993,222.755,748,0,1790,1
1.51097,141.893,749,0,951,5
0.791158,574.48,750,0,891,0
1.4245,195.337,752,0,1600,1
1.51409,228.569,755,0,1701,0
1.71454,160.857,757,0,1922,0
2.21098,67.977,759,0,1327,5
0.787711,383.573,760,0,887,0
1.64519,71.254,762,0,1081,4
1.67,182.308,764,0,1869,0
1.21572,329.661,766,0,1358,1
1.6254,141.009,767,0,1061,4
1.53788,189.743,769,0,1724,0
0.844764,199.446,771,0,945,0
0.571154,736.466,772,0,650,0
1.45082,356.175,774,0,1632,0
2.04659,156.33,776,0,1914,1
1.3649,216.051,778,0,1533,0
1.54277,170.701,780,0,1734,0
0.903825,315.038,782,0,1017,0
0.98939,441.4,783,0,1118,0
1.35735,240.152,785,0,1524,0
1.45425,238.936,787,0,1636,0
1.8089,236.33,789,0,1626,2
1.95308,76.754,791,0,1399,7
1.43926,164.508,792,0,822,5
1.07717,329.947,793,0,1209,0
1.4357,108.184,795,0,1217,1
1.72145,199.994,797,0,1924,1
1.31713,220.933,799,0,1479,0
1.5045,253.725,801,0,1686,0
1.57764,189.178,804,0,1771,0
2.00236,179.602,806,0,2245,0
1.87402,150.128,809,0,2100,0
1.27308,183.848,811,0,1426,0
0.833192,352.031,812,0,939,0
0.991172,345.286,813,0,1117,0
1.22674,218.1,815,0,1379,0
1.53623,191.858,817,0,1724,0
1.97338,164.701,819,0,1808,1
1.76533,196.283,822,0,1965,1
1.73689,213.148,824,0,1962,0
2.28703,173.76,826,0,1724,2
1.36104,136.205,827,0,1108,1
