,,,,,
,,,,,
Method,CUDPBlast,,,,
MSS,1500,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
77.1377,156.468,83333,0,62,11
18.5585,584.273,83333,0,13,8
0,584.273,83333,0,0,0
0,584.273,83333,0,0,0
56.6343,432.934,83333,0,50,0
10.3807,446.315,83333,0,11,25
54.0419,772.942,83333,0,37,0
12.629,735.176,83333,0,21,20
6.1418,743.869,83333,0,2,2
50.558,614.519,83333,0,38,0
8.29295,614.519,83333,0,0,6
35.8083,626.321,83333,0,5,0
49.5231,580.458,83333,0,3,8
43.3632,504.18,83333,0,47,20
7.04094,504.18,83333,0,0,16
35.2042,662.268,83333,0,26,1
32.392,570.531,83333,0,33,1
11.2287,570.531,83333,0,0,10
32.438,618.456,83333,0,17,0
45.8387,578.684,83333,0,10,9
19.0954,578.684,83333,0,0,9
22.4041,516.222,83333,0,10,0
46.4731,526.336,83333,0,6,11
42.1153,398.984,83333,0,42,19
12.3497,658.135,83333,0,13,7
0,658.135,83333,0,0,0
0,658.135,83333,0,0,0
57.2162,481.837,83333,0,47,0
6.63236,481.837,83333,0,0,6
52.1449,656.932,83333,0,22,0
55.2448,533.758,83333,0,43,3
37.4227,564.892,83333,0,26,24
3.77711,625.472,83333,0,13,1
60.4597,391.254,83333,0,38,0
10.8475,434.611,83333,0,16,1
53.3327,696.431,83333,0,29,1
10.5681,643.236,83333,0,17,10
76.0265,599.191,83333,0,67,10
18.2681,691.568,83333,0,11,15
0.0959584,691.568,83333,0,0,1
63.4695,486.699,83333,0,60,0
11.6906,499.701,83333,0,5,10
57.3602,630.938,83333,0,24,0
45.39,712.478,83333,0,15,10
45.8534,652.461,83333,0,55,12
4.14486,713.408,83333,0,6,11
6.01299,713.408,83333,0,0,0
52.5365,551.556,83333,0,61,0
11.2768,551.556,83333,0,0,4
50.6417,712.161,83333,0,49,0
53.4649,700.601,83333,0,38,4
35.4977,625.521,83333,0,29,14
2.24534,696.618,83333,0,5,4
57.4075,519.738,83333,0,27,0
21.6354,514.338,83333,0,32,11
30.8329,767.703,83333,0,26,6
11.227,767.703,83333,0,0,5
48.0199,684.399,83333,0,15,0
49.2451,683.886,83333,0,10,3
25.4935,683.886,83333,0,0,9
21.937,644.543,83333,0,2,0
43.7613,507.102,83333,0,22,2
24.313,507.102,83333,0,0,9
47.7639,667.625,83333,0,10,0
35.5792,675.859,83333,0,1,2
6.94589,675.859,83333,0,0,2
57.6404,634.233,83333,0,29,0
58.4887,596.275,83333,0,37,7
37.6418,577.209,83333,0,26,31
0.637961,603.437,83333,0,1,5
52.8047,731.037,83333,0,30,0
8.57953,734.945,83333,0,15,2
44.1725,645.696,83333,0,18,0
26.2965,588.067,83333,0,30,4
0,588.067,83333,0,0,0
24.34,670.816,83333,0,7,1
82.1975,409.59,83333,0,51,7
17.8623,665.685,83333,0,12,4
1.22478,665.685,83333,0,0,1
0,665.685,83333,0,0,0
49.228,436.329,83333,0,40,0
34.3929,484.676,83333,0,14,10
22.5756,663.001,83333,0,10,0
55.7453,303.978,83333,0,41,0
37.3557,450.136,83333,0,36,20
4.64633,669.298,83333,0,12,0
0,669.298,83333,0,0,0
33.4141,430.551,83333,0,12,0
40.7495,463.386,83333,0,48,4
0,463.386,83333,0,0,0
45.0139,644.986,83333,0,12,0
47.6288,646.652,83333,0,11,2
26.4467,647.707,83333,0,1,6
46.2663,658.661,83333,0,13,1
52.5819,618.201,83333,0,12,8
2.91222,618.201,83333,0,0,1
28.2283,564.472,83333,0,7,0
0,564.472,83333,0,0,0
47.1396,488.118,83333,0,12,0
44.0967,504.212,83333,0,45,7
3.99529,636.106,83333,0,14,1
52.7473,390.803,83333,0,20,0
24.8941,448.023,83333,0,49,2
19.5254,570.232,83333,0,4,0
31.1541,621.118,83333,0,7,1
75.2756,551.15,83333,0,7,8
36.4845,323.044,83333,0,48,4
3.85464,323.044,83333,0,0,15
61.9347,690.906,83333,0,34,0
4.45104,695.555,83333,0,4,2
51.7062,752.887,83333,0,18,0
47.9394,740.807,83333,0,10,3
16.5502,740.807,83333,0,0,9
0,740.807,83333,0,0,0
34.819,552.947,83333,0,10,0
56.6534,501.785,83333,0,33,2
35.3148,526.006,83333,0,25,10
5.15644,687.328,83333,0,13,1
0,687.328,83333,0,0,0
56.92,388.132,83333,0,37,0
16.1936,417.986,83333,0,19,10
40.2794,706.215,83333,0,13,0
46.1316,684.313,83333,0,3,2
44.3512,477.034,83333,0,36,9
6.97851,583.435,83333,0,4,7
21.011,595.414,83333,0,5,0
48.2477,618.651,83333,0,60,3
4.96869,618.651,83333,0,0,2
45.2903,699.715,83333,0,7,0
1.10608,699.715,83333,0,0,1
44.1329,668.288,83333,0,3,0
44.5203,633.749,83333,0,7,9
2.90305,633.749,83333,0,0,1
49.5939,439.26,83333,0,21,0
15.9422,485.068,83333,0,46,2
7.91513,507.937,83333,0,1,0
50.4319,612.102,83333,0,38,0
67.527,565.778,83333,0,55,4
34.5064,578.032,83333,0,13,34
0,578.032,83333,0,0,0
63.8815,697.471,83333,0,56,0
10.6968,695.259,83333,0,9,15
51.911,774.238,83333,0,22,0
45.4906,746.268,83333,0,4,3
21.8924,746.268,83333,0,0,8
0,746.268,83333,0,0,0
51.1866,641.097,83333,0,21,0
5.96382,641.097,83333,0,0,3
62.2893,604.774,83333,0,35,0
30.9731,687.26,83333,0,16,10
0.850237,697.352,83333,0,1,0
65.5601,438.714,83333,0,51,0
17.3815,465.281,83333,0,12,23
27.9941,568.889,83333,0,3,0
30.0166,650.191,83333,0,8,1
10.9545,650.191,83333,0,0,6
43.0844,468.046,83333,0,13,0
52.2291,434.269,83333,0,24,6
40.2277,478.282,83333,0,29,17
1.39972,543.729,83333,0,2,3
23.8107,646.952,83333,0,14,0
42.39,500.342,83333,0,56,0
13.3324,500.342,83333,0,0,8
58.0742,480.876,83333,0,37,0
55.4081,670.615,83333,0,31,11
28.3192,685.584,83333,0,2,22
1.25873,685.584,83333,0,0,1
59.146,555.64,83333,0,26,0
38.8776,549.617,83333,0,13,24
14.7789,658.812,83333,0,34,1
10.9561,700.674,83333,0,5,0
54.5529,540.949,83333,0,59,0
11.9596,540.949,83333,0,0,9
34.3284,657.415,83333,0,15,0
59.237,339.719,83333,0,35,4
35.2745,425.141,83333,0,27,27
1.1112,540.935,83333,0,3,1
14.5079,596.578,83333,0,6,0
52.7665,544.306,83333,0,59,0
11.5647,544.306,83333,0,0,9
12.5519,644.641,83333,0,5,0
85.2124,414.508,83333,0,69,10
8.13664,414.508,83333,0,0,5
62.5683,624.906,83333,0,56,0
10.7394,636.665,83333,0,11,17
52.5006,761.926,83333,0,27,0
11.7141,739.448,83333,0,20,6
49.3675,767.076,83333,0,25,7
21.1098,767.076,83333,0,0,7
63.7253,633.566,83333,0,29,0
15.905,631.21,83333,0,6,9
51.2206,730.163,83333,0,13,0
50.1477,684.48,83333,0,16,8
36.4681,685.36,83333,0,26,44
25.2765,761.193,83333,0,40,4
9.71632,761.193,83333,0,0,7
57.0694,744.953,83333,0,47,0
4.6191,732.18,83333,0,5,3
37.6116,738.774,83333,0,3,0
25.6918,727.678,83333,0,1,2
54.7496,596.7,83333,0,35,4
26.1369,652.885,83333,0,3,15
0.626456,652.885,83333,0,0,1
46.4576,691.332,83333,0,6,0
1.03594,691.332,83333,0,0,1
60.3009,562.973,83333,0,50,0
34.7467,667.491,83333,0,9,13
7.27149,667.491,83333,0,0,3
56.1974,478.097,83333,0,49,0
6.52643,492.324,83333,0,9,8
56.6472,701.62,83333,0,34,0
47.5084,696.081,83333,0,17,8
31.0573,697.47,83333,0,15,25
46.5702,709.398,83333,0,5,0
20.035,675.135,83333,0,4,1
20.8488,567.197,83333,0,6,0
42.0743,503.978,83333,0,48,1
5.27591,503.978,83333,0,0,2
50.9004,593.853,83333,0,12,0
47.4018,611.817,83333,0,9,2
24.5408,611.817,83333,0,0,17
0,611.817,83333,0,0,0
33.1813,422.072,83333,0,18,0
2.86569,422.072,83333,0,0,3
0,422.072,83333,0,0,0
60.8809,484.04,83333,0,44,0
34.2953,616.406,83333,0,13,32
0,616.406,83333,0,0,0
53.0128,596.141,83333,0,28,0
14.3074,627.321,83333,0,37,8
12.2644,689.804,83333,0,7,0
49.9174,526.174,83333,0,42,0
53.904,744.019,83333,0,42,12
43.3928,767.805,83333,0,20,25
3.41003,771.773,83333,0,14,2
47.2496,738.816,83333,0,19,0
29.5293,638.248,83333,0,50,8
3.86621,638.248,83333,0,0,16
51.2112,725.572,83333,0,13,0
3.33538,725.572,83333,0,0,2
47.9249,607.399,83333,0,8,0
47.4443,521.415,83333,0,15,8
42.3899,538.532,83333,0,47,17
4.23834,641.442,83333,0,4,12
0,641.442,83333,0,0,0
67.4877,553.795,83333,0,60,0
8.26553,554.282,83333,0,2,9
29.5416,701.161,83333,0,8,0
46.5904,682.227,83333,0,6,2
31.7558,682.227,83333,0,0,9
0,682.227,83333,0,0,0
46.7148,614.294,83333,0,8,0
3.70916,614.294,83333,0,0,3
53.1842,521.009,83333,0,25,0
32.5108,535.053,83333,0,29,10
49.1248,595.619,83333,0,12,0
18.575,557.152,83333,0,16,2
34.4534,663.578,83333,0,9,1
38.798,649.327,83333,0,37,6
60.9032,569.22,83333,0,59,0
29.4324,661.684,83333,0,15,11
0.530502,661.684,83333,0,0,1
60.08,436.415,83333,0,38,0
17.4667,478.175,83333,0,10,9
35.5014,706.173,83333,0,12,0
16.0647,713.361,83333,0,1,1
0,713.361,83333,0,0,0
48.9008,616.987,83333,0,13,0
56.9449,569.781,83333,0,46,11
23.6311,569.689,83333,0,18,12
54.1017,690.064,83333,0,32,0
8.87321,646.946,83333,0,13,2
51.9433,670.112,83333,0,25,0
17.539,609.334,83333,0,28,4
71.6402,586.838,83333,0,69,7
18.1899,684.397,83333,0,5,24
0.146785,684.397,83333,0,0,1
53.9293,626.181,83333,0,34,0
11.487,601.946,83333,0,26,2
26.1676,720.874,83333,0,10,1
43.3886,734.781,83333,0,14,6
68.2,730.06,83333,0,59,11
0.778173,730.06,83333,0,0,6
57.9462,642.768,83333,0,29,0
10.0383,623.116,83333,0,15,11
50.5556,711.979,83333,0,23,0
15.9561,645.644,83333,0,40,4
0,645.644,83333,0,0,0
18.211,700.511,83333,0,5,0
0,700.511,83333,0,0,0
56.3592,594.974,83333,0,49,0
37.8446,661.11,83333,0,19,29
0.626448,683.355,83333,0,2,0
59.7807,505.832,83333,0,55,0
7.3071,533.964,83333,0,7,7
54.4052,742.199,83333,0,29,0
15.4824,659.061,83333,0,29,8
45.1391,687.337,83333,0,3,1
0,687.337,83333,0,0,0
38.627,658.402,83333,0,7,0
54.7954,627.707,83333,0,9,12
19.6069,596.998,83333,0,46,3
22.3313,642.908,83333,0,6,0
38.6706,669.328,83333,0,55,3
2.15713,669.328,83333,0,0,1
55.0424,731.704,83333,0,41,0
3.80285,731.704,83333,0,0,3
35.012,737.926,83333,0,6,0
49.0977,659.236,83333,0,32,3
44.1778,585.565,83333,0,35,9
3.97157,574.615,83333,0,15,0
57.0022,536.77,83333,0,45,0
10.6648,536.688,83333,0,16,12
53.5055,758.363,83333,0,26,0
13.9282,765.323,83333,0,29,15
9.16956,767.719,83333,0,1,4
79.1373,739.872,83333,0,7,7
11.9557,696.667,83333,0,7,5
2.84731,696.667,83333,0,0,1
62.7682,526.066,83333,0,64,0
4.75415,526.066,83333,0,0,5
46.0232,742.443,83333,0,16,0
48.2329,725.369,83333,0,12,2
29.1258,725.369,83333,0,0,9
0,725.369,83333,0,0,0
47.1463,610.376,83333,0,9,0
1.29239,610.376,83333,0,0,1
47.0354,544.153,83333,0,9,0
34.5453,546.326,83333,0,53,8
2.61957,546.326,83333,0,0,1
39.7784,612.152,83333,0,24,0
28.7547,589.987,83333,0,27,0
0,616.633,83333,0,37,0
9.40074,616.633,83333,0,0,0
4.46496,195.782,83333,0,23,0
0,195.782,83333,0,0,0
0,195.782,83333,0,0,0
0,195.782,83333,0,0,0
0,195.782,83333,0,0,0
0,195.782,83333,0,0,0
,,,,,
,,,,,
Method,CUDPBlast,,,,
MSS,100,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
7.19119,128.403,83333,0,27,4
9.34944,134.644,83333,0,47,34
10.4078,93.886,83333,0,53,1
10.0503,220.942,83333,0,51,3
13.0731,40.557,83333,0,80,3
13.2507,41.942,83333,0,68,16
13.2628,47.268,83333,0,72,18
12.2001,39.822,83333,0,68,6
13.2781,42.461,83333,0,74,14
13.3422,41.971,83333,0,68,4
13.1251,43.035,83333,0,75,23
13.2275,43.227,83333,0,73,28
13.0803,42.449,83333,0,73,6
13.0931,40.495,83333,0,79,20
12.8607,40.252,83333,0,71,12
10.0229,45.317,83333,0,38,15
12.1508,43.351,83333,0,68,3
13.3331,43.372,83333,0,72,8
13.3017,42.265,83333,0,71,5
12.2802,43.157,83333,0,47,14
8.38659,74.786,83333,0,44,2
5.93663,89.467,83333,0,22,19
12.1143,46.305,83333,0,73,4
13.1263,47.426,83333,0,64,6
13.241,42.106,83333,0,73,8
13.2345,43.251,83333,0,76,4
12.8393,41.341,83333,0,72,5
