SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
92.0155,698.495,83333,0,11,0
102.227,681.395,83333,0,9,1
47.1754,674.911,83333,0,16,13
99.8818,713.731,83333,0,26,0
8.48278,714.945,83333,0,28,9
51.5997,727.328,83333,0,2,2
44.1807,727.328,83333,0,0,0
96.4324,711.409,83333,0,8,0
97.1969,703.58,83333,0,21,7
30.1956,700.844,83333,0,17,8
101.211,592.741,83333,0,26,0
8.8116,589.371,83333,0,27,1
106.911,667.587,83333,0,49,0
9.10721,665.574,83333,0,7,24
99.0646,780.358,83333,0,26,0
6.10988,783.746,83333,0,19,2
95.7723,744.569,83333,0,4,0
23.6868,693.463,83333,0,19,8
2.81653,693.463,83333,0,0,3
104.31,756.977,83333,0,46,0
3.86318,756.977,83333,0,0,5
99.9216,780.443,83333,0,32,0
13.3396,780.976,83333,0,11,11
74.8297,769.199,83333,0,14,0
34.8503,767.087,83333,0,31,3
71.6401,753.704,83333,0,11,0
65.4344,752.766,83333,0,2,6
18.1286,752.766,83333,0,0,3
100.065,750.893,83333,0,26,0
12.1933,750.837,83333,0,23,10
69.2062,730.573,83333,0,9,0
57.6956,722.171,83333,0,25,10
67.2104,741.783,83333,0,11,0
64.0746,747.541,83333,0,30,14
0.372418,747.541,83333,0,0,3
104.762,778.934,83333,0,32,0
39.3599,778.934,83333,0,0,6
77.0863,713.725,83333,0,17,0
3.26019,713.725,83333,0,0,4
102.099,646.689,83333,0,48,0
15.3747,646.613,83333,0,9,15
98.6764,762.575,83333,0,21,0
10.4119,769.871,83333,0,28,4
0.186168,769.871,83333,0,0,2
106.295,771.129,83333,0,60,0
12.2103,771.129,83333,0,0,18
101.306,785.148,83333,0,29,0
11.0323,785.44,83333,0,30,7
0.684862,785.44,83333,0,0,1
95.3425,777.489,83333,0,6,0
81.6644,706.469,83333,0,15,0
39.6514,695.546,83333,0,32,11
52.4484,750.673,83333,0,8,3
68.1687,779.477,83333,0,47,5
12.3784,775.807,83333,0,1,4
86.6269,752.773,83333,0,17,0
48.3386,696.534,83333,0,7,0
80.938,652.11,83333,0,41,8
0.710159,652.11,83333,0,0,6
102.849,768.664,83333,0,56,0
29.942,768.679,83333,0,2,17
78.8052,746.558,83333,0,3,0
89.7706,715.159,83333,0,9,0
42.5533,701.68,83333,0,49,4
50.9276,739.799,83333,0,8,4
51.0933,759.046,83333,0,25,0
35.4736,762.375,83333,0,2,3
73.9537,773.245,83333,0,58,0
57.9123,741.33,83333,0,5,2
54.04,707.762,83333,0,51,0
75.549,655.943,83333,0,15,1
41.6623,660.127,83333,0,16,2
1.58188,660.127,83333,0,0,6
104.428,754.043,83333,0,60,0
3.09355,754.043,83333,0,0,2
100.418,735.218,83333,0,54,0
4.10366,736.918,83333,0,5,3
87.4367,509.318,83333,0,12,0
73.6117,496.479,83333,0,29,0
49.0278,455.76,83333,0,24,0
0,455.76,83333,0,0,0
0,455.76,83333,0,0,0
0,455.76,83333,0,0,0
0,455.76,83333,0,0,0
0,455.76,83333,0,0,0
