Method,UDT,,,,
MSS,1500,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
10.3301,75.867,49679,68.6645,72,12
7.83304,47.075,28126,61.7226,71,2
5.32313,46.964,31546,107.593,74,14
6.34713,49.407,45260,59,70,7
11.0668,72.414,43996,41,59,8
7.8249,152.176,100202,65,42,11
5.35808,56.453,36817,78.3422,55,6
9.21706,96.355,60939,42.7243,72,4
8.36892,81.373,65149,56.5466,69,8
8.43134,168.567,126014,49.71,75,12
9.12844,220.063,144368,56.9827,61,10
8.34544,59.541,46702,30.6883,76,3
8.72915,221.179,100916,17.7129,43,1
10.0353,216.763,126295,49,33,21
4.68208,248.86,139059,58,21,21
6.58101,50.209,28383,58.1768,57,5
9.52117,64.986,39140,45.3856,66,8
7.18917,50.804,28708,52,61,15
11.2459,130.496,87505,34.51,67,3
8.21027,89.33,52495,63.4859,49,22
6.82593,51.808,30189,75.2613,63,7
8.45823,66.766,44788,51.1982,44,3
6.73789,61.467,38447,85.5727,53,8
9.87891,59.454,51538,31,70,5
9.11483,69.702,36036,44.7642,52,19
10.4837,118.45,71122,42.4824,65,4
9.10684,53.961,41086,55.9701,57,6
7.2243,44.98,35999,63.5545,68,12
8.5704,63.794,50201,69.5191,77,12
5.56318,48.961,42860,103.392,67,7
5.1285,48.452,32719,58.6208,73,4
11.8797,110.764,66600,43.8804,58,29
8.24934,60.322,56748,41.1422,47,22
11.4968,151.918,89575,37.9645,49,4
8.55634,58.825,52533,66,56,15
6.16984,53.747,34649,64.0783,64,10
5.6032,52.242,26637,47.0956,60,11
10.1989,69.271,41365,29.7672,64,9
11.4356,170.09,103686,23.0059,50,6
8.5036,118.202,112723,40.0155,46,14
11.0792,58.391,42510,76,57,9
3.30152,54.29,46895,124.334,9,11
8.17607,61.173,38303,41.2208,68,3
10.3029,53.056,38129,59.6194,76,6
6.11333,48.603,32849,71.1299,72,8
5.80033,52.423,46290,88.8012,46,5
10.5517,62.678,28403,20.0522,73,1
9.80024,172.753,83730,20.8311,45,7
5.50732,201.907,88666,33,28,4
6.31786,177.197,98027,33.9812,39,1
6.47549,240.254,165756,67,31,22
6.83662,50.594,31697,29.8282,46,0
15.343,182.158,98412,25,68,9
11.5537,56.72,37429,46.012,67,30
11.6398,71.605,41114,28.8739,73,0
7.99848,49.879,29119,63.7173,70,26
8.46098,49.285,33597,26.6965,67,2
13.4329,162.602,107453,9.39326,75,0
9.17944,95.104,61551,24.6305,42,10
11.8054,216.514,106128,48.6821,78,20
10.5636,52.424,42878,52.7188,77,4
7.20598,50.676,38039,67.122,70,8
10.5814,54.751,40646,57,68,7
8.39846,50.188,39115,71.2305,62,7
9.3472,96.607,63566,51.1023,66,10
8.01118,55.447,36807,39.7613,67,20
9.66964,49.312,39835,65.6214,66,6
8.65395,53.796,38306,72.9487,74,21
